number,title,front,back,text_path,preview,source
1,第一大吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤001a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤001b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\001\原文001.txt,第一大吉 /  / 第一大吉 / 日文漢字 / 日文漢字 / 七寶浮圖塔,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第001籤.htm
2,第二小吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤002a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤002b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\002\原文002.txt,第二小吉 /  / 第二小吉 / 日文漢字 / 日文漢字 / 月被浮雲翳,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第002籤.htm
3,第三籤 凶 愁惱損忠良 層層疊疊嘆氣與苦惱，被回報的事很少吧。 青霄一炷香 就像向著天燒香祈禱般地，你的願望無法傳達天聽吧。 雖然防小過 雖這樣說，但就算只有一點點善行也好，作了可以逃離災厄吧。 閑慮覺時長 東想西想之間，似乎不知不覺就像過了很長的時間。等待時機的到來吧。 願望：難實現吧。 疾病：雖然拖長，但是會治好吧。 遺失物：難以找到吧。 盼望的人：要花很久的時間吧。 旅行：因為很壞，放棄吧。 蓋新居搬家：勉勉強強地算好吧。 結婚交往：要節制吧。 請注意下圖籤詩第二句的『宵』字和籤詩上圖的原版『霄』字不同,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤003a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤003b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\003\原文003.txt,第三籤 凶 愁惱損忠良 層層疊疊嘆氣與苦惱，被回報的事很少吧。 青霄一炷香 就像向著天燒香祈禱般地，你的願望無法傳達天聽吧。 雖然防小過 雖這樣說，但就算只有一點點善行也好，作了可以逃離災厄吧。 閑慮覺時長 東想西想之間，似乎不知不覺就像過了很長的時間。等待時機的到來吧。 願望：難實現吧。 疾病：雖然拖長，但是會治好吧。 遺失物：難以找到吧。 盼望的人：要花很久的時間吧。 旅行：因為很壞，放棄吧。 蓋新居搬家：勉勉強強地算好吧。 結婚交往：要節制吧。 請注意下圖籤詩第二句的『宵』字和籤詩上圖的原版『霄』字不同 /  / 愁惱損忠良 / 層層疊疊嘆氣與苦惱，被回報的事很少吧。 / 青霄一炷香 / 青霄一炷香,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第003籤.htm
4,第四 吉 累有興雲志 拼命地要出人頭地，可以看出你的志向。 君恩祿未封 但是遺憾地是，你的不成熟還不能得到居上位者的認同。 若逢侯手印 然而，就像是如果已經寫了好文章的話，就立刻得到認同般地，好好傳遞自己的心思是很重要的。 好事始總總 好事也似乎會越來越接踵而起吧。,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤004a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤004b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\004\原文004.txt,第四 吉 累有興雲志 拼命地要出人頭地，可以看出你的志向。 君恩祿未封 但是遺憾地是，你的不成熟還不能得到居上位者的認同。 若逢侯手印 然而，就像是如果已經寫了好文章的話，就立刻得到認同般地，好好傳遞自己的心思是很重要的。 好事始總總 好事也似乎會越來越接踵而起吧。 /  / 累有興雲志 / 累有興雲志 / 拼命地要出人頭地，可以看出你的志向。 / 君恩祿未封,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第004籤.htm
5,第005籤,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤005a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤005b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\005\原文005.txt,日本淺草觀音寺一百籤（日本佛寺一百籤） /  / 日文漢字 / 日文漢字 / 家道未能昌 / 家道未能昌,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第005籤.htm
6,第六末吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤006a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤006b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\006\原文006.txt,第六末吉 /  / 第六末吉 / 日文漢字 / 日文漢字 / 宅墓鬼凶多,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第006籤.htm
7,第007籤,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤007a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤007b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\007\原文007.txt,日本淺草觀音寺一百籤（日本佛寺一百籤） /  / 日文漢字 / 日文漢字 / 登舟待便風 / 登舟待便風,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第007籤.htm
8,第八大吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤008a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤008b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\008\原文008.txt,第八大吉 /  / 第八大吉 / 日文漢字 / 日文漢字 / 勿頭中見尾,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第008籤.htm
9,第九大吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤009a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤009b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\009\原文009.txt,第九大吉 /  / 第九大吉 / 日文漢字 / 日文漢字 / 有名須得遇,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第009籤.htm
10,第十大吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤010a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤010b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\010\原文010.txt,第十大吉 /  / 第十大吉 / 日文漢字 / 日文漢字 / 舊用多成破,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第010籤.htm
